title,url,tap,coder,time
Người Phán Xử - Tập 35 , https://ucarecdn.com/c329dc66-1897-4fcf-9c97-5fbe526897c0/nguoiphanxutap35.mp4 , Tập 35 , Tống Trần Kiên , 43:21
Người Phán Xử - Tập 36 , https://ucarecdn.com/ec4a7f26-1dbc-46a2-91d4-afab1e80881f/nguoiphanxutap36.mp4 , Tập 36 , Tống Trần Kiên , 44:14
Người Phán Xử - Tập 37 , https://ucarecdn.com/b2b431ff-7192-4b8f-8d91-660cd1cb769b/nguoiphanxutap37.mp4 , Tập 37 , Tống Trần Kiên , 42:29
Người Phán Xử - Tập 38 , https://ucarecdn.com/baf746b3-fe11-4eef-9efd-9fd379939567/nguoiphanxutap38.mp4 , Tập 38 , Tống Trần Kiên , 43:47
Người Phán Xử - Tập 39 , https://ucarecdn.com/f55a2e58-d214-45db-8a44-75025c2c5a9f/nguoiphanxutap39.mp4 , Tập 39 , Tống Trần Kiên , 36:06
Người Phán Xử - Tập 40 , https://ucarecdn.com/6c2eb529-bb79-4ac9-a483-5b929df660d3/nguoiphanxutap40.mp4 , Tập 40 , Tống Trần Kiên , 45:02
Người Phán Xử - Tập 41 , https://ucarecdn.com/ff29d9b0-ee86-4030-bd1c-d1194303de81/nguoiphanxutap41.mp4 , Tập 41 , Tống Trần Kiên , 43:27
Người Phán Xử - Tập 42 , https://ucarecdn.com/120724ce-4623-4226-b72b-ff805cf3d269/nguoiphanxutap42.mp4 , Tập 42 , Tống Trần Kiên , 42:45
Người Phán Xử - Tập 43 , https://ucarecdn.com/4e1eb824-fd5e-4796-8b08-21606da34296/nguoiphanxutap43.mp4 , Tập 43 , Tống Trần Kiên , 43:50
Người Phán Xử - Tập 44 , https://ucarecdn.com/1d816ada-e38f-4360-9aa8-3fee46a702cb/nguoiphanxutap44.mp4 , Tập 44 , Tống Trần Kiên , 44:55
Người Phán Xử - Tập 45 , https://ucarecdn.com/7df9a859-1751-49b8-bdfc-d5c2ad161c1d/nguoiphanxutap45.mp4 , Tập 45 , Tống Trần Kiên , 44:53
Người Phán Xử - Tập 46 , https://ucarecdn.com/704811dc-90bc-44b5-bdb4-96fb226b6838/nguoiphanxutap46.mp4 , Tập 46 , Tống Trần Kiên , 43:05
Người Phán Xử - Tập 47 ( Tập Cuối ) , https://ucarecdn.com/ac9fc69c-9616-4f55-b07b-740ed3fb1951/nguoiphanxutap47.mp4 , Tập 47 , Tống Trần Kiên , 49:08
